ID,fname,mname,lname,gender,dob,class,section,doj,f_fname,f_lname,phone_no,tution_fee_p,tution_fee_a,trans_fee_p,trans_fee_a,stationery_fee_p,stationery_fee_a,balance,last_updated
1,Devansh,,,M,01/04/11,PREP,C,06/02/20,Arjun,Patel,9876543210,1000,1000,0,0,0,0,0,
2,Pranshi,,,F,24/07/08,NUR,B,30/07/22,Aarav,Sharma,8765432109,1100,1000,250,250,0,0,-100,15-02-2024 17:57:55
3,Aman,,kumar,M,18/06/13,1,A,19/03/22,Aditya,Shah,7654321098,1000,1000,250,250,0,0,0,
4,Shivani,,singh,F,08/12/14,2,A,20/08/22,Vikram,Singh,6543210987,800,1000,0,0,0,150,350,
5,Leena,,tomar,F,26/03/10,8,B,12/02/20,Rohan,Kumar,5432109876,800,1000,0,250,150,150,450,
6,Monu,,sharma,M,13/11/14,3,C,27/07/20,Siddharth,Jain,4321098765,1000,1000,0,0,150,150,0,12-02-2024 21:42:50
7,Ajay,,yadav,M,15/08/16,PRE-NUR,C,16/01/22,Aryan,Gupta,3210987654,1000,1000,0,0,150,150,0,
8,Vihaan,,sharma,M,20/05/17,4,B,03/09/21,Akash,Desai,2109876543,1000,1000,250,250,0,0,0,
9,Tina,,,F,15/07/14,NUR,A,09/12/20,Ayush,Trivedi,1098765432,1000,1000,0,0,0,0,0,15-02-2024 17:58:24
10,Sheefa,,,F,16/10/17,6,A,13/07/22,Dhruv,Mehta,1987654321,1000,1000,0,250,150,150,250,
11,Arav,,singh,M,14/06/16,9,C,25/02/23,Yash,Choudhary,9988776655,1000,1000,250,250,0,150,150,
12,Mohini,,,F,08/03/15,5,B,14/08/20,Advait,Pandey,8877665544,2000,1000,600,600,560,560,-1000,19-03-2024 15:24:49
13,Tarun,,tilak,M,10/02/15,7,B,07/05/21,Kabir,Yadav,7766554433,1000,1000,250,250,150,150,0,
14,Kavita,,mehto,F,18/09/12,PRE-NUR,C,10/06/22,Karthik,Verma,6655443322,1000,1000,0,250,0,0,250,
15,Anita,,devi,F,09/10/14,2,A,21/01/20,Rahul,Soni,5544332211,1000,1000,0,0,0,0,0,
16,Nazmul,,,M,23/04/12,8,B,05/06/21,Rishi,Shinde,4433221100,1000,1000,250,250,0,0,0,
17,sonu,,,M,20/12/13,3,C,02/11/21,Pranav,Saxena,3322110099,600,1000,0,250,150,150,650,
18,raj,,kumar,M,07/02/11,PREP,A,17/10/22,Abhinav,Mishra,2211009988,2000,1000,450,450,560,670,-890,11-03-2024 02:47:02
19,abhay,,singh,M,05/03/13,4,C,12/08/23,Arnav,Reddy,1100998877,900,1000,0,0,0,0,100,
20,bhavya,,gupta,F,07/05/16,NUR,B,02/08/21,Virat,Das,99887766,800,1000,250,250,150,150,200,
21,devansh,,raghav,M,29/04/17,7,A,08/11/22,Harsh,Chauhan,9966554433,1000,1000,0,0,0,150,150,
22,mahima,,,F,10/02/17,5,A,09/06/21,Vedant,Roy,8855443322,700,1000,450,450,560,670,110,11-03-2024 02:48:32
23,shrishty,,,F,07/08/08,6,C,29/11/20,Krishna,Mukherjee,7744332211,1000,1000,0,0,0,0,0,
24,rishabh,,singh,M,26/08/11,PRE-NUR,B,12/03/23,Shaurya,Bose,6633221100,1000,1000,250,250,150,150,0,
25,shivansh,,yadav,M,12/06/15,8,C,06/10/20,Aadi,Rao,5522110099,800,1000,0,250,0,150,600,
26,digvijay,,kumar,M,21/07/13,1,B,21/03/20,Hrithik,Sen,4411009988,1000,1000,0,0,150,150,0,
27,shourya,,yadav,M,03/10/11,9,A,16/07/22,Kunal,Prasad,3300998877,800,1000,250,250,0,0,200,
28,arushi,,verma,F,12/06/13,2,C,19/11/20,Parth,Chowdhury,1199887766,1000,1000,250,250,150,150,0,
29,anmol,,gupta,M,20/03/12,PREP,A,06/04/20,Aman,Sharma,2299887766,1000,1000,0,0,0,0,0,
30,rishi,,rawal,M,17/05/17,3,B,26/10/22,Dev,Patel,3399887766,800,1000,0,0,0,0,200,
31,raj,,singh,M,14/09/15,NUR,A,20/12/21,Ishaan,Singh,4499887766,1000,1000,0,0,0,0,0,
32,naman,,upadhyay,M,25/08/16,4,C,04/03/21,Vivaan,Gupta,5599887766,900,1000,0,0,150,150,100,
33,sishant,,rana,M,01/05/13,5,B,07/12/21,Tanish,Kumar,6699887766,900,1000,0,0,0,0,100,
34,ruchi,,kumari,F,07/03/10,6,A,26/11/21,Ansh,Shah,7799887766,1000,1000,250,250,0,0,0,
35,saniya,,,F,08/05/13,8,B,01/09/23,Vihaan,Das,8899887766,700,1000,0,0,0,0,300,
36,sheefa,,,F,02/05/16,1,C,27/09/20,Veer,Chowdhary,9999887766,1000,1000,250,250,150,150,0,
37,nandini,,,F,15/01/13,9,B,15/08/22,Surya,Joshi,1234567890,1000,1000,250,250,0,150,150,
38,Md maaz,,,M,03/09/11,7,C,11/02/23,Sarthak,Raj,2345678901,1000,1000,0,0,0,0,0,
39,surbhi,,bansal,F,06/10/09,PREP,A,05/03/23,Jay,Nair,3456789012,1000,1000,0,0,150,150,0,
40,suhail,,khan,M,28/12/14,2,C,16/08/23,Rishabh,Khan,4567890123,1000,1000,0,250,0,150,400,
41,aryan,,kumar,M,22/04/15,NUR,A,26/06/22,Vihaan,Dutta,5678901234,1000,1000,0,0,0,0,0,
42,aryan,,singh,M,23/12/12,6,B,16/04/22,Sahil,Singhania,6789012345,1000,1000,250,250,0,150,150,
43,hardik,,yadav,M,23/05/13,3,A,07/11/21,Arush,Dube,7890123456,1000,1000,0,250,0,150,400,
44,keshav,,gupta,M,25/10/12,4,A,01/03/21,Pratham,Pandit,8901234567,1000,1000,0,0,150,150,0,
45,krishna,,mehto,M,21/07/11,7,B,23/07/23,Lakshya,Pillai,9012345678,1000,1000,0,0,0,0,0,13-02-2024 14:13:59
46,anjali,,,F,28/08/11,5,C,14/06/20,Advaith,Kamble,123456789,1000,1000,0,0,0,0,0,
47,rihan,,,M,27/04/10,PRE-NUR,C,03/06/22,Atharva,Kulkarni,2345678901,1000,1000,0,0,0,0,0,
48,rohit,,lal,M,22/06/12,9,A,11/06/22,Advik,Shelke,3456789012,1000,1000,0,0,150,150,0,
49,sonam,,pal,F,17/09/14,1,C,07/06/20,Yuvraj,Shetty,4567890123,1000,1000,0,0,150,150,0,
50,chhavi,,,F,13/05/17,8,B,16/12/20,Krish,Choudhury,5678901234,900,1000,250,250,0,0,100,
